datetime	Unnamed: 0	Unnamed: 0.1	city	country	nb_detected
21-03-2020_04-39-47_PM	254.0	0.0	Goteborg	Sweden	2
21-03-2020_04-39-51_PM	255.0	0.0	Goteborg	Sweden	2
21-03-2020_04-39-55_PM	256.0	0.0	Goteborg	Sweden	0
21-03-2020_04-39-59_PM	257.0	0.0	Goteborg	Sweden	0
21-03-2020_04-40-02_PM	258.0	0.0	Goteborg	Sweden	1
21-03-2020_04-40-06_PM	259.0	0.0	Goteborg	Sweden	0
21-03-2020_04-40-10_PM	260.0	0.0	Goteborg	Sweden	0
21-03-2020_04-40-14_PM	261.0	0.0	Goteborg	Sweden	1
21-03-2020_04-40-19_PM	262.0	0.0	Goteborg	Sweden	1
21-03-2020_04-40-24_PM	263.0	0.0	Overtornea 	Sweden	0
21-03-2020_04-42-25_PM	264.0	0.0	Stockholm	Sweden	10
21-03-2020_04-42-30_PM	265.0	0.0	Stockholm	Sweden	0
21-03-2020_04-42-33_PM	266.0	0.0	Stockholm	Sweden	0
21-03-2020_04-42-36_PM	267.0	0.0	Stockholm	Sweden	0
21-03-2020_04-42-38_PM	268.0	0.0	Goteborg	Sweden	2
21-03-2020_04-42-42_PM	269.0	0.0	Goteborg	Sweden	1
21-03-2020_04-42-44_PM	270.0	0.0	Goteborg	Sweden	1
21-03-2020_04-42-48_PM	271.0	0.0	Goteborg	Sweden	9
21-03-2020_04-42-51_PM	272.0	0.0	Goteborg	Sweden	0
21-03-2020_04-42-54_PM	273.0	0.0	Goteborg	Sweden	2
21-03-2020_04-42-57_PM	274.0	0.0	Goteborg	Sweden	5
21-03-2020_04-43-00_PM	275.0	0.0	Goteborg	Sweden	0
21-03-2020_04-43-03_PM	276.0	0.0	Goteborg	Sweden	2
21-03-2020_04-43-07_PM	277.0	0.0	Goteborg	Sweden	4
21-03-2020_04-43-10_PM	278.0	0.0	Goteborg	Sweden	0
21-03-2020_04-43-13_PM	279.0	0.0	Goteborg	Sweden	3
21-03-2020_04-43-16_PM	280.0	0.0	Goteborg	Sweden	0
21-03-2020_04-43-20_PM	281.0	0.0	Goteborg	Sweden	0
21-03-2020_04-43-24_PM	282.0	0.0	Goteborg	Sweden	0
21-03-2020_04-43-27_PM	283.0	0.0	Goteborg	Sweden	0
21-03-2020_04-43-32_PM	284.0	0.0	Goteborg	Sweden	1
21-03-2020_04-43-38_PM	285.0	0.0	Overtornea 	Sweden	0
21-03-2020_04-45-05_PM	286.0	0.0	Stockholm	Sweden	4
21-03-2020_04-45-09_PM	287.0	0.0	Stockholm	Sweden	0
21-03-2020_04-45-12_PM	288.0	0.0	Stockholm	Sweden	0
21-03-2020_04-45-17_PM	289.0	0.0	Stockholm	Sweden	0
21-03-2020_04-45-21_PM	290.0	0.0	Goteborg	Sweden	1
21-03-2020_04-47-34_PM	291.0	0.0	Goteborg	Sweden	5
21-03-2020_04-47-37_PM	292.0	0.0	Goteborg	Sweden	2
21-03-2020_04-47-40_PM	293.0	0.0	Goteborg	Sweden	2
21-03-2020_04-47-43_PM	294.0	0.0	Goteborg	Sweden	1
21-03-2020_04-47-45_PM	295.0	0.0	Goteborg	Sweden	0
21-03-2020_04-47-48_PM	296.0	0.0	Goteborg	Sweden	1
21-03-2020_04-47-51_PM	297.0	0.0	Goteborg	Sweden	0
21-03-2020_04-47-55_PM	298.0	0.0	Goteborg	Sweden	3
21-03-2020_04-47-58_PM	299.0	0.0	Goteborg	Sweden	2
21-03-2020_04-48-02_PM	300.0	0.0	Goteborg	Sweden	1
21-03-2020_04-48-05_PM	301.0	0.0	Goteborg	Sweden	1
21-03-2020_04-48-09_PM	302.0	0.0	Goteborg	Sweden	0
21-03-2020_04-48-09_PM	303.0	0.0	Goteborg	Sweden	0
21-03-2020_04-48-12_PM	304.0	0.0	Goteborg	Sweden	0
21-03-2020_04-48-17_PM	305.0	0.0	Stockholm	Sweden	0
21-03-2020_04-48-18_PM	306.0	0.0	Goteborg	Sweden	0
21-03-2020_04-48-22_PM	307.0	0.0	Stockholm	Sweden	0
21-03-2020_04-48-23_PM	308.0	0.0	Goteborg	Sweden	0
21-03-2020_04-48-27_PM	309.0	0.0	Stockholm	Sweden	0
21-03-2020_04-48-29_PM	310.0	0.0	Goteborg	Sweden	2
21-03-2020_04-48-35_PM	311.0	0.0	Goteborg	Sweden	2
21-03-2020_04-48-39_PM	312.0	0.0	Overtornea 	Sweden	0
21-03-2020_04-48-39_PM	313.0	0.0	Overtornea 	Sweden	0
21-03-2020_04-48-50_PM	314.0	0.0	Goteborg	Sweden	1
21-03-2020_04-48-53_PM	315.0	0.0	Goteborg	Sweden	1
21-03-2020_04-48-57_PM	316.0	0.0	Goteborg	Sweden	0
21-03-2020_04-49-02_PM	317.0	0.0	Goteborg	Sweden	1
21-03-2020_04-49-05_PM	318.0	0.0	Goteborg	Sweden	1
21-03-2020_04-49-09_PM	319.0	0.0	Goteborg	Sweden	0
21-03-2020_04-49-12_PM	320.0	0.0	Goteborg	Sweden	0
21-03-2020_04-49-15_PM	321.0	0.0	Goteborg	Sweden	1
21-03-2020_04-49-19_PM	322.0	0.0	Goteborg	Sweden	0
21-03-2020_04-49-24_PM	323.0	0.0	Goteborg	Sweden	0
21-03-2020_04-49-28_PM	324.0	0.0	Goteborg	Sweden	0
